7000,Reliance Jio Infocomm,Madhya Pradesh and Chhattisgarh Telecom Circle.,24
7001,Reliance Jio Infocomm,West Bengal Telecom Circle.,24
7002,Reliance Jio Infocomm,Assam Telecom Circle.,24
7003,Reliance Jio Infocomm,Kolkata Metro Telecom Circle.,24
7004,Reliance Jio Infocomm,Bihar and Jharkhand Telecom Circle.,24
7005,Reliance Jio Infocomm,North East India Telecom Circle.,24
7006,Reliance Jio Infocomm,Jammu and Kashmir Telecom Circle.,24
7007,Reliance Jio Infocomm,Uttar Pradesh (East) Telecom Circle.,24
7008,Reliance Jio Infocomm,Odisha Telecom Circle.,24
7009,Reliance Jio Infocomm,Punjab Telecom Circle.,24
7010,Reliance Jio Infocomm,Tamil Nadu Telecom Circle.,24
7011,Reliance Jio Infocomm,Delhi Metro Telecom Circle.,24
7012,Reliance Jio Infocomm,Kerala Telecom Circle.,24
7013,Reliance Jio Infocomm,Andhra Pradesh Telecom Circle.,24
7014,Reliance Jio Infocomm,Rajasthan Telecom Circle.,24
7015,Reliance Jio Infocomm,Haryana Telecom Circle.,24
7016,Reliance Jio Infocomm,Gujarat Telecom Circle.,24
7017,Reliance Jio Infocomm,Uttar Pradesh (West) and Uttarakhand Telecom Circle.,24
7018,Reliance Jio Infocomm,Himachal Pradesh Telecom Circle.,24
7019,Reliance Jio Infocomm,Karnataka Telecom Circle.,24
7020,Reliance Jio Infocomm,Maharashtra Telecom Circle.,24
7021,Reliance Jio Infocomm,Mumbai Metro Telecom Circle.,24
7022,Bharti Airtel,Karnataka Telecom Circle.,2
7023,Bharti Airtel,Rajasthan Telecom Circle.,2
7024,Bharti Airtel,Madhya Pradesh and Chhattisgarh Telecom Circle.,2
7025,IDEA,Kerala Telecom Circle.,8
7026,IDEA,Karnataka Telecom Circle.,8
7027,Vodafone,Haryana Telecom Circle.,24
7028,Bharti Airtel,Maharashtra Telecom Circle.,2
7029,Bharti Airtel,Maharashtra Telecom Circle.,2
